Date,Event,Source,Topic
1/6/20,Chinese central bank makes positive announcement regarding digital Yuan,https://cointelegraph.com/news/peoples-bank-of-china-progressing-smoothly-with-digital-yuan?_ga=2.21160763.1465554788.1588640772-1390027153.1588120310,Crypto
1/13/20, 1st official COVID-19 case outside of China--Thailand-- reported,https://www.who.int/news-room/detail/13-01-2020-who-statement-on-novel-coronavirus-in-thailand,COVID-19
1/20/20, 1st U.S. case of Covid-19,https://www.king5.com/article/news/health/coronavirus/snohomish-county-man-with-coronavirus-released-from-hospital/281-7db76525-7baf-4cf9-a799-768fe2fa3bed,COVID-19
1/30/20, WHO declares Global Health Emergency due to COVID-19,https://www.statnews.com/2020/01/30/who-declares-coronavirus-outbreak-a-global-health-emergency/,General
1/31/20,U.S. bans foreign nationals from entering U.S. if they have been to China,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
2/9/20, COVID-19 Death Toll Surpasses '02-'03 SARS epidemic in China,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
2/21/20,Italian COVID-19 outbreak begins,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
2/6/20, First COVID-19 death in U.S.,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/8/20, Italian national lockdown commences,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/11/20, WHO declares Pandemic,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/13/20, U.S. declares Natl Emergency,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/23/20, NYC becomes COVID-19 U.S. epicenter,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/26/20,U.S. surpasses China in world cases of COVID-19,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3,COVID-19
3/15/20, U.S. Federal Reserve cuts interest rates to 0 and initiates QE,https://www.cnbc.com/2020/03/15/federal-reserve-cuts-rates-to-zero-and-launches-massive-700-billion-quantitative-easing-program.html,General
2/18/20, Chinese Exchange FCoin closes-- owes users 125 Million,https://magazine.cointelegraph.com/hodlers-february-2020/,Crypto
3/16/20, U.S. stock market triggered 1st circut breaker event,https://www.cnbc.com/2020/03/15/the-sp-500-futures-hit-limit-down-at-5-percent.html,General
3/28/20,WHO launches blockchain enabled platform to help fight COVID-19,https://magazine.cointelegraph.com/hodlers-march-2020/,Crypto
3/16/20, Russia's central bank moves to ban crypto,https://cointelegraph.com/news/russias-central-bank-seeks-to-ban-crypto-issuance-and-circulation?_ga=2.6015795.1465554788.1588640772-1390027153.1588120310,Crypto
2/28/20, West Virginia ceases to use blockchain voting paltform,https://www.meritalk.com/articles/west-virginia-ditches-controversial-voatz-app-for-may-election/,Crypto
4/3/20,U.S. lost 701000 jobs in March,https://www.nbcnews.com/business/business-news/march-jobs-report-shows-loss-701-000-jobs-n1175726,General
4/11/20,22 Million Unemployed in a month time,https://www.cnn.com/2020/04/16/economy/unemployment-benefits-coronavirus/index.html,General
4/29/20, World Economic Forum releases blockchain toolkit,https://bravenewcoin.com/insights/world-economic-forum-releases-blockchain-toolkit,Crypto
4/20/20,Oil prices go negative,https://qz.com/1841668/oil-prices-are-negative-for-first-time-ever/,General
4/25/20, BTC miner Ebang files for IPO in U.S.,https://magazine.cointelegraph.com/hodlers-april-2020/,Crypto
12/24/19, Boeing CEO Fired,https://www.cnn.com/2019/12/24/business/boeing-dennis-muilenburg-mistakes/index.html,General
2/9/2020,BTC Hits $10000,https://cointelegraph.com/news/bitcoin-price-hits-10-000-for-the-first-time-in-2020-up-40-ytd,Crypto
4/2/2020, BTC Hashrate Surpasses all time high hits 136 Quintillion,https://news.bitcoin.com/bitcoin-hashrate-all-time-high/,Crypto
