Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,1279.400024,1279.400024,1279.400024,1279.400024,1279.400024,8
2019-05-09,1278.900024,1285.000000,1278.800049,1283.500000,1283.500000,5
2019-05-10,1285.400024,1286.500000,1283.300049,1285.699951,1285.699951,38
2019-05-12,null,null,null,null,null,null
2019-05-13,1286.699951,1300.099976,1281.800049,1300.099976,1300.099976,6
2019-05-14,1297.800049,1297.800049,1294.699951,1294.699951,1294.699951,56
2019-05-15,1296.900024,1296.900024,1296.000000,1296.300049,1296.300049,6
2019-05-16,1285.199951,1285.400024,1285.000000,1285.000000,1285.000000,55
2019-05-17,1280.000000,1280.000000,1274.500000,1274.500000,1274.500000,3
2019-05-19,null,null,null,null,null,null
2019-05-20,1276.099976,1276.099976,1276.099976,1276.099976,1276.099976,1
2019-05-21,1272.000000,1272.000000,1272.000000,1272.000000,1272.000000,20
2019-05-22,1273.599976,1273.599976,1273.599976,1273.599976,1273.599976,0
2019-05-23,1284.800049,1284.800049,1284.800049,1284.800049,1284.800049,0
2019-05-24,1283.000000,1283.000000,1283.000000,1283.000000,1283.000000,0
2019-05-26,null,null,null,null,null,null
2019-05-28,1276.500000,1276.500000,1276.500000,1276.500000,1276.500000,9
2019-05-29,1280.599976,1280.599976,1280.599976,1280.599976,1280.599976,0
2019-05-30,1279.400024,1288.300049,1273.900024,1287.099976,1287.099976,189694
2019-05-31,1287.699951,1306.400024,1287.500000,1305.800049,1305.800049,55573
2019-06-02,null,null,null,null,null,null
2019-06-03,1307.000000,1327.800049,1307.000000,1322.699951,1322.699951,2814
2019-06-04,1324.300049,1328.599976,1320.800049,1323.400024,1323.400024,812
2019-06-05,1328.900024,1343.300049,1326.300049,1328.300049,1328.300049,302
2019-06-06,1330.800049,1338.699951,1326.199951,1337.599976,1337.599976,622
2019-06-07,1333.099976,1347.699951,1329.800049,1341.199951,1341.199951,161
2019-06-09,null,null,null,null,null,null
2019-06-10,1335.800049,1336.500000,1324.099976,1324.699951,1324.699951,240
2019-06-11,1328.400024,1328.400024,1319.099976,1326.400024,1326.400024,268
2019-06-12,1326.900024,1334.500000,1326.900024,1331.900024,1331.900024,201
2019-06-13,1331.599976,1341.099976,1331.599976,1339.199951,1339.199951,139
2019-06-14,1345.400024,1355.400024,1339.300049,1340.099976,1340.099976,157
2019-06-16,null,null,null,null,null,null
2019-06-17,1339.000000,1340.300049,1335.000000,1338.699951,1338.699951,914
2019-06-18,1349.300049,1349.300049,1341.599976,1346.599976,1346.599976,76
2019-06-19,1344.000000,1344.599976,1344.000000,1344.599976,1344.599976,29
2019-06-20,1381.500000,1392.900024,1379.500000,1392.900024,1392.900024,129
2019-06-21,1406.000000,1406.000000,1390.300049,1396.199951,1396.199951,76
2019-06-23,null,null,null,null,null,null
2019-06-24,1406.000000,1420.599976,1402.099976,1414.300049,1414.300049,35
2019-06-25,1418.099976,1433.300049,1414.900024,1414.900024,1414.900024,125
2019-06-26,1407.199951,1413.300049,1405.800049,1411.599976,1411.599976,105
2019-06-27,1407.000000,1410.800049,1399.800049,1408.400024,1408.400024,1333
2019-06-28,1408.300049,1422.000000,1408.300049,1409.699951,1409.699951,437
2019-06-30,null,null,null,null,null,null
2019-07-01,1386.599976,1395.800049,1382.800049,1385.599976,1385.599976,356
2019-07-02,1391.099976,1418.400024,1390.800049,1404.599976,1404.599976,214
2019-07-03,null,null,null,null,null,null
2019-07-05,1418.300049,1418.300049,1390.199951,1396.699951,1396.699951,46
2019-07-07,null,null,null,null,null,null
2019-07-08,1395.900024,1397.000000,1393.599976,1397.000000,1397.000000,20
2019-07-09,1394.500000,1397.500000,1386.199951,1397.500000,1397.500000,14
2019-07-10,1409.900024,1410.099976,1409.900024,1410.099976,1410.099976,53
2019-07-11,1424.000000,1424.000000,1404.300049,1404.300049,1404.300049,50
2019-07-12,1405.599976,1410.099976,1405.599976,1409.900024,1409.900024,6
2019-07-14,null,null,null,null,null,null
2019-07-15,1414.400024,1415.000000,1411.400024,1411.400024,1411.400024,8
2019-07-16,1413.599976,1413.699951,1405.000000,1409.199951,1409.199951,25
2019-07-17,1404.599976,1421.300049,1404.599976,1421.300049,1421.300049,13
2019-07-18,1422.300049,1444.199951,1419.500000,1426.099976,1426.099976,6
2019-07-19,1440.500000,1442.000000,1425.099976,1425.099976,1425.099976,66
2019-07-21,null,null,null,null,null,null
2019-07-22,1425.300049,1425.300049,1424.000000,1425.300049,1425.300049,22
2019-07-23,1418.599976,1421.300049,1416.300049,1420.099976,1420.099976,1
2019-07-24,1422.800049,1422.800049,1422.800049,1422.800049,1422.800049,5
2019-07-25,1413.900024,1413.900024,1413.900024,1413.900024,1413.900024,20
2019-07-26,1422.800049,1423.000000,1418.500000,1418.500000,1418.500000,4
2019-07-28,null,null,null,null,null,null
2019-07-29,1419.599976,1419.599976,1419.599976,1419.599976,1419.599976,5
2019-07-30,1426.300049,1433.900024,1422.099976,1429.699951,1429.699951,224267
2019-07-31,1431.300049,1435.800049,1411.199951,1426.099976,1426.099976,73874
2019-08-01,1411.300049,1445.199951,1400.900024,1420.900024,1420.900024,3294
2019-08-02,1448.000000,1448.000000,1432.300049,1445.599976,1445.599976,2431
